,fiscal_year_released,recidivism_reporting_year,main_supervising_district,releasetype,race_ethnicity,ageat_release,sex,offenseclassification,offensetype,offensesubtype,return_to_prison,recidivism_type,target_population
17679,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,Felony - Enhanced,Property,Theft,Yes,Tech,Yes
17680,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,New,Yes
17684,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,New,Yes
17685,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17686,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,New,Yes
17688,2010,2013,1JD,Parole,White - Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,New,Yes
17689,2010,2013,3JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Vandalism,Yes,Tech,Yes
17690,2010,2013,4JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17691,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
17692,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17693,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
17697,2010,2013,2JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17698,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,Tech,Yes
17699,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Property,Burglary,Yes,New,Yes
17700,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Other Violent,Yes,Tech,Yes
17701,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,Traffic,Yes,Tech,Yes
17703,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,New,Yes
17704,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,Yes,Tech,Yes
17705,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
17706,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17707,2010,2013,8JD,Special Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Sex,Yes,Tech,Yes
17709,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
17711,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,New,Yes
17712,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17713,2010,2013,7JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Other Drug,Yes,Tech,Yes
17714,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17715,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,New,Yes
17720,2010,2013,4JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Drug Possession,Yes,Tech,Yes
17725,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,Yes,Tech,Yes
17726,2010,2013,5JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,Yes,New,Yes
17728,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,Tech,Yes
17729,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,New,Yes
17730,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,Tech,Yes
17731,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,Yes,Tech,Yes
17732,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17733,2010,2013,5JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Drug,Drug Possession,Yes,Tech,Yes
17738,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,Tech,Yes
17740,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17741,2010,2013,2JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,Yes,New,Yes
17742,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Female,D Felony,Drug,Drug Possession,Yes,New,Yes
17743,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17744,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,Tech,Yes
17747,2010,2013,2JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17748,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,Tech,Yes
17749,2010,2013,2JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,Tech,Yes
17750,2010,2013,2JD,Special Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,Tech,Yes
17751,2010,2013,2JD,Parole,White - Non-Hispanic,55 and Older,Male,B Felony,Drug,Trafficking,Yes,New,Yes
17752,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Other Violent,Yes,Tech,Yes
17753,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,Tech,Yes
17754,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,Tech,Yes
17755,2010,2013,7JD,Parole,White - Hispanic,35-44,Male,Felony - Enhanced,Property,Burglary,Yes,New,Yes
17760,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,New,Yes
17763,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17766,2010,2013,4JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,New,Yes
17767,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,Sex Offender Registry/Residency,Yes,New,Yes
17770,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17771,2010,2013,3JD,Special Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Sex,Yes,New,Yes
17773,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17776,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,New,Yes
17777,2010,2013,7JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,Yes,Tech,Yes
17778,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Violent,Robbery,Yes,Tech,Yes
17779,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Theft,Yes,Tech,Yes
17781,2010,2013,1JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,Yes,New,Yes
17782,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,New,Yes
17783,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,New,Yes
17784,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,New,Yes
17785,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,New,Yes
17786,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Other Drug,Yes,New,Yes
17790,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,New,Yes
17792,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Female,D Felony,Property,Forgery/Fraud,Yes,New,Yes
17793,2010,2013,7JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,Tech,Yes
17794,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,Tech,Yes
17795,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17799,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,New,Yes
17805,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,New,Yes
17806,2010,2013,5JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17807,2010,2013,7JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,Weapons,Yes,New,Yes
17809,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Property,Theft,Yes,New,Yes
17812,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Other,Other Criminal,Yes,Tech,Yes
17813,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17815,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,Yes,Tech,Yes
17816,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,Tech,Yes
17817,2010,2013,4JD,Special Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Sex,Yes,Tech,Yes
17818,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,Tech,Yes
17820,2010,2013,1JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Drug Possession,Yes,New,Yes
17821,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
17822,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
17823,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,New,Yes
17825,2010,2013,5JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,Yes,New,Yes
17826,2010,2013,6JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,New,Yes
17832,2010,2013,5JD,Parole,Asian or Pacific Islander - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,Tech,Yes
17834,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17835,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,New,Yes
17836,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,New,Yes
17837,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Property,Burglary,Yes,Tech,Yes
17838,2010,2013,7JD,Parole,White - Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,New,Yes
17839,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17840,2010,2013,6JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,Tech,Yes
17841,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17843,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Burglary,Yes,New,Yes
17844,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,New,Yes
17847,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,New,Yes
17848,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,New,Yes
17850,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,Yes,New,Yes
17851,2010,2013,6JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17852,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
17853,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,Yes,New,Yes
17854,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,Tech,Yes
17857,2010,2013,5JD,Parole,Black - Hispanic,25-34,Male,C Felony,Property,Theft,Yes,Tech,Yes
17858,2010,2013,7JD,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Violent,Assault,Yes,Tech,Yes
17860,2010,2013,8JD,Special Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Sex,Yes,Tech,Yes
17865,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,Yes,Tech,Yes
17868,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17872,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17874,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,Yes,New,Yes
17876,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Property,Arson,Yes,New,Yes
17877,2010,2013,5JD,Parole,White - Hispanic,25-34,Male,D Felony,Property,Theft,Yes,Tech,Yes
17878,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,Yes,Tech,Yes
17879,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,Yes,Tech,Yes
17881,2010,2013,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Property,Theft,Yes,Tech,Yes
17883,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Other Drug,Yes,New,Yes
17884,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,Yes,Tech,Yes
17885,2010,2013,7JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Property,Vandalism,Yes,Tech,Yes
17886,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17892,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,New,Yes
17894,2010,2013,2JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,Tech,Yes
17900,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,New,Yes
17901,2010,2013,7JD,Parole,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17902,2010,2013,4JD,Parole,White -,45-54,Male,D Felony,Violent,Assault,Yes,Tech,Yes
17904,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Forgery/Fraud,Yes,New,Yes
17907,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,OWI,Yes,Tech,Yes
17910,2010,2013,7JD,Parole,American Indian or Alaska Native - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,Yes,Tech,Yes
17912,2010,2013,4JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,Yes,New,Yes
17917,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17918,2010,2013,7JD,Parole,Black - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Public Order,Prostitution/Pimping,Yes,New,Yes
17920,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17921,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,New,Yes
17924,2010,2013,5JD,Parole,White - Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17925,2010,2013,2JD,Parole,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,Yes,New,Yes
17926,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Public Order,OWI,Yes,New,Yes
17927,2010,2013,4JD,Special Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Sex,Yes,Tech,Yes
17928,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,Yes,New,Yes
17929,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Yes,New,Yes
17930,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,Tech,Yes
17932,2010,2013,7JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,New,Yes
17933,2010,2013,4JD,Special Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Sex,Yes,Tech,Yes
17935,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,Tech,Yes
17936,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17937,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,New,Yes
17938,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Theft,Yes,New,Yes
17940,2010,2013,8JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Property,Vandalism,Yes,Tech,Yes
17942,2010,2013,5JD,Parole,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
17943,2010,2013,5JD,Parole,Asian or Pacific Islander - Non-Hispanic,25-34,Male,B Felony,Other,Other Criminal,Yes,Tech,Yes
17944,2010,2013,2JD,Parole,White - Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,New,Yes
17945,2010,2013,2JD,Special Sentence,White - Non-Hispanic,0-25,Male,D Felony,Violent,Sex,Yes,Tech,Yes
17947,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17948,2010,2013,6JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Public Order,OWI,Yes,Tech,Yes
17949,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,New,Yes
17950,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17951,2010,2013,1JD,Parole,Black - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Other,Other Criminal,Yes,Tech,Yes
17954,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Other Violent,Yes,New,Yes
17955,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,New,Yes
17956,2010,2013,2JD,Parole,Black - Non-Hispanic,35-44,Male,B Felony,Violent,Murder/Manslaughter,Yes,Tech,Yes
17958,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17963,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,New,Yes
17965,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,Tech,Yes
17968,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17970,2010,2013,3JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,Tech,Yes
17971,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,New,Yes
17973,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,Yes,Tech,Yes
17974,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17975,2010,2013,3JD,Parole,White - Non-Hispanic,55 and Older,Male,Felony - Enhanced,Public Order,OWI,Yes,Tech,Yes
17976,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17979,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,Tech,Yes
17980,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,Tech,Yes
17982,2010,2013,6JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,Yes,Tech,Yes
17983,2010,2013,5JD,Parole,White - Hispanic,25-34,Male,D Felony,Public Order,Traffic,Yes,Tech,Yes
17984,2010,2013,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17985,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
17986,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,Tech,Yes
17988,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Property,Theft,Yes,New,Yes
17989,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
17991,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Violent,Assault,Yes,Tech,Yes
17992,2010,2013,8JD,Parole,Asian or Pacific Islander - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
17993,2010,2013,2JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,New,Yes
17996,2010,2013,5JD,Special Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Other,Special Sentence Revocation,Yes,Tech,Yes
17997,2010,2013,1JD,Parole,White - Non-Hispanic,0-25,Female,Aggravated Misdemeanor,Property,Theft,Yes,Tech,Yes
17999,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
18002,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
18004,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,New,Yes
18006,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,New,Yes
18007,2010,2013,6JD,Special Sentence,American Indian or Alaska Native - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Theft,Yes,Tech,Yes
18009,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,New,Yes
18011,2010,2013,5JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,Yes,Tech,Yes
18013,2010,2013,1JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
18015,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,New,Yes
18016,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
18017,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Assault,Yes,Tech,Yes
18018,2010,2013,4JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,Yes,Tech,Yes
18019,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,Yes,New,Yes
18021,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,Tech,Yes
18022,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,Tech,Yes
18023,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Other Drug,Yes,New,Yes
18025,2010,2013,8JD,Special Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Violent,Sex,Yes,Tech,Yes
18026,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,Tech,Yes
18027,2010,2013,6JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Public Order,OWI,Yes,Tech,Yes
18029,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,Yes,New,Yes
18030,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
18031,2010,2013,6JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,Tech,Yes
18032,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,New,Yes
18033,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,New,Yes
18034,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Burglary,Yes,Tech,Yes
18035,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,Yes,New,Yes
18036,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,New,Yes
18038,2010,2013,3JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Yes,New,Yes
18039,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,Tech,Yes
18041,2010,2013,7JD,Parole,Black - Non-Hispanic,45-54,Female,C Felony,Drug,Trafficking,Yes,New,Yes
18042,2010,2013,6JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Property,Theft,Yes,New,Yes
18044,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Property,Theft,Yes,New,Yes
18045,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,New,Yes
18046,2010,2013,7JD,Special Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Sex,Yes,New,Yes
18047,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Tech,Yes
18050,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,Tech,Yes
