,fiscal_year_released,recidivism_reporting_year,releasetype,race_ethnicity,ageat_release,sex,offenseclassification,offensetype,offensesubtype,return_to_prison,days_to_return,recidivism_type,new_offenseclassification,new_offensetype,new_offensesub_type,target_population
22313,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Male,Serious Misdemeanor,Property,Theft,Yes,549.0,New,Serious Misdemeanor,Violent,Assault,No
22317,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,153.0,New,Serious Misdemeanor,Property,Theft,Yes
22319,2013,2016,Parole Granted,Black - Non-Hispanic,0-25,Male,C Felony,Violent,Assault,Yes,271.0,New,C Felony,Violent,Robbery,Yes
22320,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,434.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22323,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Other,Other Criminal,Yes,255.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
22324,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,505.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
22325,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Arson,Yes,576.0,New,D Felony,Property,Burglary,No
22327,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,833.0,New,D Felony,Drug,Trafficking,Yes
22328,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,665.0,New,D Felony,Drug,Drug Possession,Yes
22329,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,462.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
22332,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,415.0,New,D Felony,Property,Burglary,Yes
22334,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Female,C Felony,Property,Burglary,Yes,498.0,New,C Felony,Drug,Trafficking,Yes
22335,2013,2016,Parole Granted,Black - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,232.0,New,Aggravated Misdemeanor,Property,Theft,Yes
22336,2013,2016,Discharged - Expiration of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,483.0,New,D Felony,Property,Theft,No
22338,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,C Felony,Property,Burglary,Yes,579.0,New,Aggravated Misdemeanor,Property,Vandalism,Yes
22340,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,262.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
22342,2013,2016,Released to Special Sentence,White - Non-Hispanic,0-25,Male,C Felony,Violent,Sex,Yes,68.0,New,D Felony,Public Order,Flight/Escape,Yes
22344,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,691.0,New,Aggravated Misdemeanor,Violent,Other Violent,No
22346,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,154.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22347,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Public Order,Other Public Order,Yes,557.0,New,D Felony,Public Order,Other Public Order,No
22348,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Violent,Assault,Yes,685.0,New,C Felony,Drug,Trafficking,No
22351,2013,2016,Parole Granted,Asian or Pacific Islander - Non-Hispanic,25-34,Female,D Felony,Drug,Trafficking,Yes,367.0,New,D Felony,Drug,Drug Possession,Yes
22352,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,Yes,497.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
22353,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,882.0,New,D Felony,Drug,Drug Possession,Yes
22354,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Female,D Felony,Drug,Drug Possession,Yes,974.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
22356,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,209.0,New,D Felony,Property,Theft,Yes
22357,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,442.0,New,Aggravated Misdemeanor,Public Order,OWI,No
22361,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,D Felony,Public Order,Other Public Order,Yes,439.0,New,D Felony,Public Order,Other Public Order,Yes
22364,2013,2016,Parole Granted,White - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,Yes,747.0,New,C Felony,Drug,Trafficking,Yes
22365,2013,2016,Parole Granted,Black - Non-Hispanic,55 and Older,Female,Aggravated Misdemeanor,Public Order,Alcohol,Yes,278.0,New,Aggravated Misdemeanor,Public Order,Alcohol,Yes
22368,2013,2016,Parole Granted,Black - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,327.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22369,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,737.0,New,C Felony,Property,Burglary,No
22371,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Public Order,Weapons,Yes,681.0,New,C Felony,Violent,Other Violent,No
22372,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,286.0,New,D Felony,Drug,Trafficking,Yes
22373,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,323.0,New,Aggravated Misdemeanor,Public Order,Weapons,Yes
22376,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Trafficking,Yes,654.0,New,D Felony,Drug,Trafficking,No
22377,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Other,Other Criminal,Yes,584.0,New,Special Sentence 2005,Violent,Sex,No
22379,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,424.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
22380,2013,2016,Paroled to Detainer - INS,Black - Non-Hispanic,0-25,Male,C Felony,Property,Burglary,Yes,642.0,New,C Felony,Property,Theft,Yes
22382,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,540.0,New,D Felony,Drug,Trafficking,Yes
22384,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,298.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
22387,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,278.0,New,Serious Misdemeanor,Public Order,OWI,Yes
22388,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,1038.0,New,D Felony,Property,Forgery/Fraud,Yes
22391,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,Yes,337.0,New,D Felony,Public Order,Weapons,Yes
22392,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,866.0,New,C Felony,Drug,Trafficking,No
22394,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,D Felony,Violent,Assault,Yes,371.0,New,D Felony,Property,Burglary,Yes
22395,2013,2016,Parole Granted,White - Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,222.0,New,Aggravated Misdemeanor,Property,Theft,Yes
22396,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,Yes,492.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
22399,2013,2016,Paroled w/Immediate Discharge,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,633.0,New,C Felony,Drug,Trafficking,Yes
22400,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,Yes,150.0,New,D Felony,Public Order,OWI,Yes
22401,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,B Felony,Violent,Murder/Manslaughter,Yes,188.0,New,Serious Misdemeanor,Violent,Assault,Yes
22402,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,1055.0,New,D Felony,Violent,Assault,Yes
22403,2013,2016,Parole Granted,Black - Non-Hispanic,0-25,Female,C Felony,Property,Theft,Yes,376.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22404,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,959.0,New,D Felony,Violent,Assault,Yes
22406,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,D Felony,Drug,Trafficking,Yes,330.0,New,D Felony,Property,Theft,Yes
22407,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,236.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes
22410,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,745.0,New,C Felony,Violent,Sex,Yes
22411,2013,2016,Parole Granted,Black - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,385.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
22412,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,D Felony,Drug,Drug Possession,Yes,586.0,New,D Felony,Drug,Drug Possession,Yes
22415,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,Yes,415.0,New,D Felony,Property,Theft,Yes
22416,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,382.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
22418,2013,2016,Paroled to Detainer - Iowa,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,302.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
22419,2013,2016,Released to Special Sentence,White - Non-Hispanic,0-25,Male,C Felony,Violent,Sex,Yes,857.0,New,Aggravated Misdemeanor,Public Order,Other Public Order,Yes
22420,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,141.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22424,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,453.0,New,D Felony,Drug,Drug Possession,Yes
22425,2013,2016,Parole Granted,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,1074.0,New,D Felony,Public Order,OWI,Yes
22426,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,202.0,New,B Felony,Other,Other Criminal,Yes
22431,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,0-25,Male,C Felony,Property,Burglary,Yes,446.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,No
22433,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Female,C Felony,Property,Theft,Yes,261.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22435,2013,2016,Discharged - Expiration of Sentence,White - Hispanic,0-25,Male,D Felony,Public Order,Weapons,Yes,1019.0,New,Aggravated Misdemeanor,Property,Theft,No
22436,2013,2016,Parole Granted,Black - Non-Hispanic,35-44,Female,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,154.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
22437,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,967.0,New,C Felony,Violent,Other Violent,No
22439,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Other,Other Violent,Yes,753.0,New,Aggravated Misdemeanor,Property,Theft,Yes
22440,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,B Felony,Drug,Trafficking,Yes,994.0,New,Serious Misdemeanor,Violent,Assault,Yes
22441,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,Yes,183.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes
22443,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Other,Other Criminal,Yes,474.0,New,D Felony,Public Order,Other Public Order,No
22444,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,Yes,543.0,New,D Felony,Drug,Drug Possession,Yes
22445,2013,2016,Discharged - Expiration of Sentence,American Indian or Alaska Native - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,739.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
22446,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Female,C Felony,Violent,Other Violent,Yes,253.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22449,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Forgery/Fraud,Yes,224.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,No
22450,2013,2016,Parole Granted,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,711.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
22451,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,288.0,New,Aggravated Misdemeanor,Violent,Assault,No
22452,2013,2016,Parole Granted,Black - Non-Hispanic,45-54,Male,C Felony,Property,Burglary,Yes,313.0,New,D Felony,Property,Burglary,Yes
22454,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,357.0,New,D Felony,Violent,Assault,No
22455,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,532.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,No
22456,2013,2016,Discharged - Expiration of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Violent,Assault,Yes,1023.0,New,D Felony,Property,Burglary,No
22457,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,395.0,New,C Felony,Violent,Sex,Yes
22458,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,472.0,New,D Felony,Public Order,OWI,Yes
22460,2013,2016,Parole Granted,Black - Non-Hispanic,45-54,Male,C Felony,Property,Theft,Yes,151.0,New,D Felony,Property,Burglary,Yes
22462,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,B Felony,Other,Other Criminal,Yes,566.0,New,D Felony,Drug,Drug Possession,Yes
22466,2013,2016,Parole Granted,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,811.0,New,C Felony,Drug,Trafficking,Yes
22467,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,815.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
22468,2013,2016,Parole Granted,Black - Non-Hispanic,55 and Older,Male,D Felony,Property,Burglary,Yes,344.0,New,Aggravated Misdemeanor,Property,Theft,Yes
22470,2013,2016,Parole Granted,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,188.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
22472,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,133.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
22475,2013,2016,Parole Granted,Black - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,567.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
22476,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,817.0,New,D Felony,Property,Theft,No
22478,2013,2016,Parole Granted,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,440.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22479,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Female,D Felony,Property,Vandalism,Yes,765.0,New,D Felony,Property,Theft,No
22482,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,1051.0,New,C Felony,Violent,Sex,No
22485,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,172.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
22487,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,C Felony,Violent,Other Violent,Yes,736.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
22488,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,Yes,318.0,New,D Felony,Drug,Drug Possession,Yes
22490,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Female,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,1094.0,New,D Felony,Drug,Drug Possession,Yes
22491,2013,2016,Released to Special Sentence,White - Non-Hispanic,0-25,Male,C Felony,Violent,Sex,Yes,749.0,New,C Felony,Violent,Sex,Yes
22492,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,1079.0,New,D Felony,Public Order,Weapons,No
22493,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,149.0,New,D Felony,Property,Forgery/Fraud,Yes
22497,2013,2016,Paroled w/Immediate Discharge,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Burglary,Yes,733.0,New,D Felony,Property,Forgery/Fraud,Yes
22498,2013,2016,Parole Granted,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,303.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
22500,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,1039.0,New,C Felony,Violent,Robbery,Yes
22501,2013,2016,Released to Special Sentence,White - Non-Hispanic,0-25,Male,D Felony,Violent,Sex,Yes,518.0,New,Aggravated Misdemeanor,Public Order,Other Public Order,Yes
22505,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,674.0,New,D Felony,Public Order,Other Public Order,Yes
22507,2013,2016,Discharged - Expiration of Sentence,White - Hispanic,25-34,Male,C Felony,Violent,Other Violent,Yes,532.0,New,B Felony,Violent,Other Violent,No
22508,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,846.0,New,D Felony,Other,Other Criminal,No
22509,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,1000.0,New,D Felony,Property,Theft,Yes
22512,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,333.0,New,C Felony,Drug,Trafficking,Yes
22513,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,378.0,New,D Felony,Violent,Assault,No
22515,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,1077.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
22517,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,431.0,New,Aggravated Misdemeanor,Property,Vandalism,Yes
22518,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,Yes,365.0,New,D Felony,Violent,Murder/Manslaughter,Yes
22519,2013,2016,Paroled w/Immediate Discharge,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,151.0,New,C Felony,Drug,Trafficking,Yes
22520,2013,2016,Parole Granted,Black - Non-Hispanic,45-54,Male,C Felony,Property,Theft,Yes,348.0,New,Serious Misdemeanor,Public Order,Traffic,Yes
22521,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Female,D Felony,Drug,Drug Possession,Yes,776.0,New,B Felony,Drug,Trafficking,Yes
22526,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,127.0,New,D Felony,Property,Burglary,Yes
22527,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,55 and Older,Male,D Felony,Drug,Drug Possession,Yes,1036.0,New,Aggravated Misdemeanor,Property,Burglary,No
22528,2013,2016,Paroled w/Immediate Discharge,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,891.0,New,Aggravated Misdemeanor,Public Order,Alcohol,Yes
22533,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,Yes,482.0,New,D Felony,Drug,Drug Possession,Yes
22535,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,979.0,New,D Felony,Drug,Drug Possession,Yes
22536,2013,2016,Parole Granted,White - Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,779.0,New,D Felony,Drug,Trafficking,Yes
22537,2013,2016,Parole Granted,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,58.0,New,Aggravated Misdemeanor,Property,Theft,Yes
22540,2013,2016,Parole Granted,American Indian or Alaska Native - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,528.0,New,D Felony,Drug,Drug Possession,Yes
22541,2013,2016,Discharged - Expiration of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,981.0,New,D Felony,Public Order,Weapons,No
22542,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,137.0,New,Aggravated Misdemeanor,Property,Theft,No
22543,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,343.0,New,D Felony,Drug,Drug Possession,Yes
22544,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,412.0,New,Aggravated Misdemeanor,Public Order,Traffic,Yes
22545,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,902.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
22546,2013,2016,Paroled w/Immediate Discharge,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Drug,Drug Possession,Yes,558.0,New,D Felony,Drug,Drug Possession,Yes
22547,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,735.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
22548,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,323.0,New,C Felony,Drug,Trafficking,Yes
22551,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,D Felony,Other,Other Violent,Yes,454.0,New,D Felony,Property,Theft,Yes
22552,2013,2016,Parole Granted,Black - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,148.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22557,2013,2016,Parole Granted,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,370.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
22562,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,677.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
22563,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,691.0,New,C Felony,Violent,Sex,No
22565,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,394.0,New,D Felony,Drug,Drug Possession,Yes
22567,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Burglary,Yes,360.0,New,D Felony,Property,Burglary,No
22568,2013,2016,Parole Granted,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,61.0,New,D Felony,Property,Theft,Yes
22570,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,645.0,New,D Felony,Violent,Assault,No
22572,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Burglary,Yes,154.0,New,Aggravated Misdemeanor,Property,Vandalism,No
22573,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,Yes,695.0,New,D Felony,Drug,Other Drug,No
22574,2013,2016,Parole Granted,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,313.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
22575,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,547.0,New,D Felony,Public Order,OWI,Yes
22576,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,Yes,763.0,New,C Felony,Drug,Trafficking,Yes
22577,2013,2016,Parole Granted,White - Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,678.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
22579,2013,2016,Discharged - Expiration of Sentence,Black - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,169.0,New,C Felony,Violent,Sex,No
22580,2013,2016,Parole Granted,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,385.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22581,2013,2016,Parole Granted,Black - Non-Hispanic,0-25,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,243.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
22582,2013,2016,Parole Granted,Black - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,884.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
22583,2013,2016,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,318.0,New,D Felony,Public Order,OWI,No
22584,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,284.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
22585,2013,2016,Parole Granted,White - Non-Hispanic,35-44,Female,B Felony,Violent,Other Violent,Yes,541.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
